latitude,longitude,administra,type,date_added,datasets,geometry
19.68496401,-72.20549684,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(792987.19724426, 2179028.15247226)"
19.7025525,-72.2274688,"3e Section Genipailler, Milot, Nord, Haiti",Protected dug well,2016-10-25T10:57:00Z,FRAPE (Haiti Outreach),"c(790650.369008832, 2180938.45108803)"
19.6825588,-72.204772,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2016-10-27T15:15:00Z,FRAPE (Haiti Outreach),"c(793067.620498581, 2178763.00515118)"
19.7035059,-72.2272936,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2016-10-25T10:57:00Z,FRAPE (Haiti Outreach),"c(790667.022548634, 2181044.34704588)"
19.6878427,-72.2182346,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(791645.68032531, 2179325.06766785)"
19.70045568,-72.19210625,"3e Section Genipailler, Milot, Nord, Haiti",Other,2021-09-30T19:37:00Z,NA,"c(794363.635872208, 2180767.15832317)"
19.6829412,-72.219356199999993,"3e Section Genipailler, Milot, Nord, Haiti",Protected dug well,2016-10-27T15:15:00Z,FRAPE (Haiti Outreach),"c(791536.899802173, 2178780.26361707)"
19.7080037,-72.2257231,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2016-10-25T10:57:00Z,FRAPE (Haiti Outreach),"c(790823.620647733, 2181545.20204917)"
19.71717898,-72.20512871,"1re Section Basse Plaine (Quartier Morin), Quartier Morin, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(792967.095379343, 2182596.87835685)"
19.71901524,-72.19948199,"3e Section Petit Anse, Cap Haitien, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(793556.011701593, 2182810.02620695)"
19.67275958,-72.20464692,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(793098.587540906, 2177677.87308423)"
19.6845012,-72.2055792,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2016-10-27T15:15:00Z,FRAPE (Haiti Outreach),"c(792979.399760295, 2178976.75022135)"
19.6760451,-72.20412053,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(793147.831482985, 2178042.68058943)"
19.6684404,-72.1894099,"2e Section Morne Pelé, Quartier Morin, Nord, Haiti",Borehole or tubewell,2016-11-17T17:37:00Z,FRAPE (Haiti Outreach),"c(794705.121961139, 2177225.83164474)"
19.721056,-72.19201,"3e Section Petit Anse, Cap Haitien, Nord, Haiti",Borehole or tubewell,2019-01-27T18:39:00Z,FRAPE (Haiti Outreach),"c(794335.987159394, 2183049.01335446)"
19.6647054,-72.20767748,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(792795.275649464, 2176780.58224702)"
19.6644574,-72.2112252,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2016-10-27T15:15:00Z,FRAPE (Haiti Outreach),"c(792423.492713623, 2176747.00855894)"
19.6798867,-72.22036,"3e Section Genipailler, Milot, Nord, Haiti",Protected dug well,2017-02-15T17:22:00Z,NA,"c(791437.124006932, 2178440.2324531)"
19.67154979,-72.18776576,"2e Section Morne Pelé, Quartier Morin, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(794871.931958567, 2177573.07824902)"
19.70045568,-72.19210625,"3e Section Genipailler, Milot, Nord, Haiti",Protected dug well,2021-09-30T19:46:00Z,NA,"c(794363.635872208, 2180767.15832317)"
19.72067978,-72.18652055,"1re Section Basse Plaine (Quartier Morin), Quartier Morin, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(794912.446562612, 2183016.88197882)"
19.678775,-72.2228333,"3e Section Genipailler, Milot, Nord, Haiti",Unprotected dug well,2017-02-15T17:59:00Z,NA,"c(791179.658922398, 2178312.86282624)"
