"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,99,"HTI","Haiti",1,"Centre",1,"Cerca La Source",1,"Cerca La Source",NA,"","Commune","Commune","",""
2,99,"HTI","Haiti",1,"Centre",1,"Cerca La Source",2,"Thomasique",NA,"","Commune","Commune","",""
3,99,"HTI","Haiti",1,"Centre",2,"Hinche",3,"Cerca Carvajal",NA,"","Commune","Commune","",""
4,99,"HTI","Haiti",1,"Centre",2,"Hinche",4,"Hinche",NA,"","Commune","Commune","",""
5,99,"HTI","Haiti",1,"Centre",2,"Hinche",5,"Maïssade",NA,"","Commune","Commune","",""
6,99,"HTI","Haiti",1,"Centre",2,"Hinche",6,"Thomonde",NA,"","Commune","Commune","",""
7,99,"HTI","Haiti",1,"Centre",3,"Lascahobas",7,"Belladère",NA,"","Commune","Commune","",""
8,99,"HTI","Haiti",1,"Centre",3,"Lascahobas",8,"Lascahobas",NA,"","Commune","Commune","",""
9,99,"HTI","Haiti",1,"Centre",3,"Lascahobas",9,"Savanette",NA,"","Commune","Commune","",""
10,99,"HTI","Haiti",1,"Centre",4,"Mirebalais",10,"Boucan-Carré",NA,"","Commune","Commune","",""
11,99,"HTI","Haiti",1,"Centre",4,"Mirebalais",11,"Mirebalais",NA,"","Commune","Commune","",""
12,99,"HTI","Haiti",1,"Centre",4,"Mirebalais",12,"Saut-d'Eau",NA,"","Commune","Commune","",""
13,99,"HTI","Haiti",2,"Grand'Anse",5,"Anse d'Hainault",13,"Anse d'Hainault",NA,"","Commune","Commune","",""
14,99,"HTI","Haiti",2,"Grand'Anse",5,"Anse d'Hainault",14,"Dame Marie",NA,"","Commune","Commune","",""
15,99,"HTI","Haiti",2,"Grand'Anse",5,"Anse d'Hainault",15,"Les Irois",NA,"","Commune","Commune","",""
16,99,"HTI","Haiti",2,"Grand'Anse",6,"Corail",16,"Beaumont",NA,"","Commune","Commune","",""
17,99,"HTI","Haiti",2,"Grand'Anse",6,"Corail",17,"Corail",NA,"","Commune","Commune","",""
18,99,"HTI","Haiti",2,"Grand'Anse",6,"Corail",18,"Pestel",NA,"","Commune","Commune","",""
19,99,"HTI","Haiti",2,"Grand'Anse",6,"Corail",19,"Roseaux",NA,"","Commune","Commune","",""
20,99,"HTI","Haiti",2,"Grand'Anse",7,"Jérémie",20,"Abricots",NA,"","Commune","Commune","",""
21,99,"HTI","Haiti",2,"Grand'Anse",7,"Jérémie",21,"Bonbon",NA,"","Commune","Commune","",""
22,99,"HTI","Haiti",2,"Grand'Anse",7,"Jérémie",22,"Chambellan",NA,"","Commune","Commune","",""
23,99,"HTI","Haiti",2,"Grand'Anse",7,"Jérémie",23,"Jérémie",NA,"","Commune","Commune","",""
24,99,"HTI","Haiti",2,"Grand'Anse",7,"Jérémie",24,"Moron",NA,"","Commune","Commune","",""
25,99,"HTI","Haiti",3,"L'Artibonite",8,"Dessalines",25,"Desdunes",NA,"","Commune","Commune","",""
26,99,"HTI","Haiti",3,"L'Artibonite",8,"Dessalines",26,"Dessalines",NA,"","Commune","Commune","","Marchandes"
27,99,"HTI","Haiti",3,"L'Artibonite",8,"Dessalines",27,"Grande Saline",NA,"","Commune","Commune","",""
28,99,"HTI","Haiti",3,"L'Artibonite",8,"Dessalines",28,"Petite Rivière de l'Artibonite",NA,"","Commune","Commune","",""
29,99,"HTI","Haiti",3,"L'Artibonite",9,"Gros-Morne",29,"Anse Rouge",NA,"","Commune","Commune","",""
30,99,"HTI","Haiti",3,"L'Artibonite",9,"Gros-Morne",30,"Gros-Morne",NA,"","Commune","Commune","",""
31,99,"HTI","Haiti",3,"L'Artibonite",9,"Gros-Morne",31,"Terre Neuve",NA,"","Commune","Commune","",""
32,99,"HTI","Haiti",3,"L'Artibonite",10,"les Gonaïves",32,"Ennery",NA,"","Commune","Commune","",""
33,99,"HTI","Haiti",3,"L'Artibonite",10,"les Gonaïves",33,"Gonaïves",NA,"","Commune","Commune","",""
34,99,"HTI","Haiti",3,"L'Artibonite",10,"les Gonaïves",34,"L'Estère",NA,"","Commune","Commune","",""
35,99,"HTI","Haiti",3,"L'Artibonite",11,"Marmelade",35,"Marmelade",NA,"","Commune","Commune","",""
36,99,"HTI","Haiti",3,"L'Artibonite",11,"Marmelade",36,"Saint Michel de l'Attalaye",NA,"","Commune","Commune","",""
37,99,"HTI","Haiti",3,"L'Artibonite",12,"Saint-Marc",37,"La Chapelle",NA,"","Commune","Commune","",""
38,99,"HTI","Haiti",3,"L'Artibonite",12,"Saint-Marc",38,"Saint-Marc",NA,"","Commune","Commune","",""
39,99,"HTI","Haiti",3,"L'Artibonite",12,"Saint-Marc",39,"Verettes",NA,"","Commune","Commune","",""
40,99,"HTI","Haiti",4,"Nippes",13,"l'Anse-à-Veau",40,"Anse-à-Veau",NA,"","Commune","Commune","",""
41,99,"HTI","Haiti",4,"Nippes",13,"l'Anse-à-Veau",41,"Baraderes",NA,"","Commune","Commune","",""
42,99,"HTI","Haiti",4,"Nippes",13,"l'Anse-à-Veau",42,"L'Azile",NA,"","Commune","Commune","",""
43,99,"HTI","Haiti",4,"Nippes",13,"l'Anse-à-Veau",43,"Petit Trou de Nippes",NA,"","Commune","Commune","",""
44,99,"HTI","Haiti",4,"Nippes",14,"Miragoâne",44,"Miragoâne",NA,"","Commune","Commune","",""
45,99,"HTI","Haiti",4,"Nippes",14,"Miragoâne",45,"Petite Rivière de Nippes",NA,"","Commune","Commune","",""
46,99,"HTI","Haiti",5,"Nord-Est",15,"Fort-Liberté",46,"Fort-Liberté",NA,"","Commune","Commune","",""
47,99,"HTI","Haiti",5,"Nord-Est",15,"Fort-Liberté",47,"Perches",NA,"","Commune","Commune","",""
48,99,"HTI","Haiti",5,"Nord-Est",15,"Fort-Liberté",48,"Terrier",NA,"","Commune","Commune","",""
49,99,"HTI","Haiti",5,"Nord-Est",16,"le Trou-du-Nord",49,"Caracol",NA,"","Commune","Commune","",""
50,99,"HTI","Haiti",5,"Nord-Est",16,"le Trou-du-Nord",50,"Sainte Suzanne",NA,"","Commune","Commune","",""
51,99,"HTI","Haiti",5,"Nord-Est",16,"le Trou-du-Nord",51,"Terrier Rouge",NA,"","Commune","Commune","",""
52,99,"HTI","Haiti",5,"Nord-Est",16,"le Trou-du-Nord",52,"Trou du Nord",NA,"","Commune","Commune","",""
53,99,"HTI","Haiti",5,"Nord-Est",17,"Ouanaminthe",53,"Capotille",NA,"","Commune","Commune","",""
54,99,"HTI","Haiti",5,"Nord-Est",17,"Ouanaminthe",54,"Mont-Organisé",NA,"","Commune","Commune","",""
55,99,"HTI","Haiti",5,"Nord-Est",17,"Ouanaminthe",55,"Ouanaminthe",NA,"","Commune","Commune","",""
56,99,"HTI","Haiti",5,"Nord-Est",18,"Vallières",56,"Carice",NA,"","Commune","Commune","",""
57,99,"HTI","Haiti",5,"Nord-Est",18,"Vallières",57,"Mombin Crochu",NA,"","Commune","Commune","",""
58,99,"HTI","Haiti",5,"Nord-Est",18,"Vallières",58,"Vallières",NA,"","Commune","Commune","",""
59,99,"HTI","Haiti",6,"Nord-Ouest",19,"Môle Saint-Nicolas",59,"Baie de Henne",NA,"","Commune","Commune","",""
60,99,"HTI","Haiti",6,"Nord-Ouest",19,"Môle Saint-Nicolas",60,"Bombardopolis",NA,"","Commune","Commune","",""
61,99,"HTI","Haiti",6,"Nord-Ouest",19,"Môle Saint-Nicolas",61,"Jean-Rabel",NA,"","Commune","Commune","",""
62,99,"HTI","Haiti",6,"Nord-Ouest",19,"Môle Saint-Nicolas",62,"Môle Saint Nicholas",NA,"","Commune","Commune","",""
63,99,"HTI","Haiti",6,"Nord-Ouest",20,"Port-de-Paix",63,"Bassin Bleu",NA,"","Commune","Commune","",""
64,99,"HTI","Haiti",6,"Nord-Ouest",20,"Port-de-Paix",64,"Chansolme",NA,"","Commune","Commune","",""
65,99,"HTI","Haiti",6,"Nord-Ouest",20,"Port-de-Paix",65,"La Tortue",NA,"","Commune","Commune","",""
66,99,"HTI","Haiti",6,"Nord-Ouest",20,"Port-de-Paix",66,"Port-de-Paix",NA,"","Commune","Commune","",""
67,99,"HTI","Haiti",6,"Nord-Ouest",21,"Saint-Louis du Nord",67,"Anse-à-Foleur",NA,"","Commune","Commune","",""
68,99,"HTI","Haiti",6,"Nord-Ouest",21,"Saint-Louis du Nord",68,"Saint Louis du Nord",NA,"","Commune","Commune","",""
69,99,"HTI","Haiti",7,"Nord",22,"Borgne",69,"Borgne",NA,"","Commune","Commune","",""
70,99,"HTI","Haiti",7,"Nord",22,"Borgne",70,"La Victoire",NA,"","Commune","Commune","",""
71,99,"HTI","Haiti",7,"Nord",22,"Borgne",71,"Pignon",NA,"","Commune","Commune","",""
72,99,"HTI","Haiti",7,"Nord",22,"Borgne",72,"Port-Margot",NA,"","Commune","Commune","",""
73,99,"HTI","Haiti",7,"Nord",22,"Borgne",73,"Ranquitte",NA,"","Commune","Commune","",""
74,99,"HTI","Haiti",7,"Nord",23,"Grande-Rivière du Nord",74,"Bahon",NA,"","Commune","Commune","",""
75,99,"HTI","Haiti",7,"Nord",23,"Grande-Rivière du Nord",75,"Grand Rivière du Nord",NA,"","Commune","Commune","",""
76,99,"HTI","Haiti",7,"Nord",24,"l'Acul-du-Nord",76,"Acul du Nord",NA,"","Commune","Commune","",""
77,99,"HTI","Haiti",7,"Nord",24,"l'Acul-du-Nord",77,"Milot",NA,"","Commune","Commune","",""
78,99,"HTI","Haiti",7,"Nord",24,"l'Acul-du-Nord",78,"Plaine du Nord",NA,"","Commune","Commune","",""
79,99,"HTI","Haiti",7,"Nord",25,"le Cap-Haïtien",79,"Cap-Haïtien",NA,"","Commune","Commune","",""
80,99,"HTI","Haiti",7,"Nord",25,"le Cap-Haïtien",80,"Limonade",NA,"","Commune","Commune","",""
81,99,"HTI","Haiti",7,"Nord",25,"le Cap-Haïtien",81,"Quartier Morin",NA,"","Commune","Commune","",""
82,99,"HTI","Haiti",7,"Nord",26,"le Limbé",82,"Bas Limbé",NA,"","Commune","Commune","",""
83,99,"HTI","Haiti",7,"Nord",26,"le Limbé",83,"Limbé",NA,"","Commune","Commune","",""
84,99,"HTI","Haiti",7,"Nord",27,"Plaisance",84,"Pilate",NA,"","Commune","Commune","",""
85,99,"HTI","Haiti",7,"Nord",27,"Plaisance",85,"Plaisance",NA,"","Commune","Commune","",""
86,99,"HTI","Haiti",7,"Nord",28,"Saint-Raphaël",86,"Dondon",NA,"","Commune","Commune","",""
87,99,"HTI","Haiti",7,"Nord",28,"Saint-Raphaël",87,"Saint-Raphaël",NA,"","Commune","Commune","",""
88,99,"HTI","Haiti",8,"Ouest",29,"Croix-des-Bouquets",88,"Cornillon",NA,"","Commune","Commune","","Grande Bois"
89,99,"HTI","Haiti",8,"Ouest",29,"Croix-des-Bouquets",89,"Croix-des Bouquets",NA,"","Commune","Commune","",""
90,99,"HTI","Haiti",8,"Ouest",29,"Croix-des-Bouquets",90,"Fonds-Verettes",NA,"","Commune","Commune","",""
91,99,"HTI","Haiti",8,"Ouest",29,"Croix-des-Bouquets",91,"Ganthier",NA,"","Commune","Commune","",""
